name,text,pseudo_gloss
train/30October_2009_Friday_tagesschau-2269,in der westhälfte tauchen aber immer mehr wolken auf die den bevorstehenden witterungswechsel ankündigen,Westhälfte tauchen aber immer Wolke bevorstehend Witterungswechsel ankündig
train/30October_2009_Friday_tagesschau-2270,in der neuen woche geht es dann mit atlantischen tiefausläufern recht wechselhaft weiter,neu Woche gehen es dann atlantisch tiefausläufern recht wechselhaft weiter
train/30October_2009_Friday_tagesschau-2271,heute nacht ist es teils klar teils bedeckt,heute Nacht es teils klar teils bedeckt
train/30October_2009_Friday_tagesschau-2272,später bilden sich vor allem im westen und süden nebelfelder die sich morgen zum teil hartnäckig halten können,spät bilden sich alle Westen Süden Nebelfelder der sich morgen Teil hartnäckig halten
train/30October_2009_Friday_tagesschau-2277,morgen sieben grad im äußersten norden bis vierzehn grad im südwesten,morgen sieben Grad äußerer Norden vierzehn Grad Südwesten
train/30October_2009_Friday_tagesschau-2278,am sonntag erst sonne und wolken später beginnt es im westen zu regnen,Sonntag erst Sonne Wolken spät beginnen es Westen regnen
train/30October_2009_Friday_tagesschau-2279,dabei frischt der wind kräftig auf an der nordsee sturmböen,dabei frischen Wind kräftig Nordsee sturmböen
train/30October_2009_Friday_tagesschau-2280,montag und dienstag viele wolken mit schauern oder kräftigen regenfällen,Montag dienstag Wolke Schauer kräftig regenfällen
train/30October_2009_Friday_tagesschau-2281,hier und da zeigt sich auch mal die sonne,hier da zeigen sich auch mal Sonne
train/28March_2011_Monday_tagesschau-2282,und nun die wettervorhersage für morgen dienstag den neunundzwanzigsten märz,nun Wettervorhersage morgen Dienstag neunundzwanzigster März
train/28March_2011_Monday_tagesschau-2283,ein hoch zieht über deutschland weiter richtung osten und beschert uns dabei einen weitgehend sonnigen dienstag,hoch ziehen Deutschland weiter Richtung Osten bescheren uns dabei weitgehend sonnig Dienstag
train/28March_2011_Monday_tagesschau-2284,ab mittwoch erreichen uns dann von westen die wolken eines atlantiktiefs,Mittwoch erreichen uns dann Westen Wolke Atlantiktief
train/28March_2011_Monday_tagesschau-2288,über dem bergland können sich einzelne quellwolken zeigen in küstennähe gibt es auch mal dichtere wolken,bergland sich einzeln quellwolken zeigen Küstennähe geben es auch mal dicht Wolke
train/28March_2011_Monday_tagesschau-2289,im norden zeitweise mäßiger an der ostsee auch frischer bis starker westwind,Norden zeitweise mäßig Ostsee auch frisch stark Westwind
train/28March_2011_Monday_tagesschau-2290,sonst weht der wind meist schwach aus unterschiedlichen richtungen,sonst wehen Wind meist schwach unterschiedlich Richtung
train/28March_2011_Monday_tagesschau-2291,heute nacht verbreitet leichter frost oder temperaturen nahe dem gefrierpunkt,heute Nacht verbreiten leicht Frost temperaturen Gefrierpunkt
train/28March_2011_Monday_tagesschau-2292,auf rügen morgen frische sechs am oberrhein dagegen milde zwanzig grad,rügen morgen frisch sechs Oberrhein dagegen mild zwanzig Grad
train/28March_2011_Monday_tagesschau-2293,am mittwoch bleibt es in der osthälfte noch meist freundlich in der westhälfte wolkig mit schauern und örtlichen gewittern,Mittwoch bleiben es Osthälfte noch meist freundlich Westhälfte Wolkig Schauer örtlich gewittern
train/28March_2011_Monday_tagesschau-2294,am donnerstag überall wechselhaft aber ab freitag wird es von südwesten langsam wieder freundlicher,Donnerstag überall wechselhaft Freitag es Südwesten langsam wieder freundlich
train/07January_2010_Thursday_tagesschau-2295,und nun die wettervorhersage für morgen freitag den achten januar,nun Wettervorhersage morgen Freitag achter Januar
train/07January_2010_Thursday_tagesschau-2296,ein kräftiges tief über dem zentralen mittelmeer sorgt bereits in der nacht und morgen dafür dass es in deutschland von süden her schneit,kräftig tief zentral Mittelmeer sorgen bereits Nacht morgen dafür es Deutschland Süden her schneien
train/07January_2010_Thursday_tagesschau-2300,der wind weht morgen mäßig bis frisch auf den bergen stark es treten stürmische böen auf auf den bergen orkanartige böen,Wind wehen morgen mäßig frisch bergen stark es treten stürmisch böen bergen orkanartig böen
train/07January_2010_Thursday_tagesschau-2303,am samstag schneit es zeitweise dabei ist es teilweise windig,Samstag schneien es zeitweise dabei es teilweise windig
train/07January_2010_Thursday_tagesschau-2304,auch am sonntag viele wolken vor allem im osten und süden schneit es noch kräftiger sonst lässt der schneefall allmählich nach,auch Sonntag Wolke alle Osten Süden schneien es noch kräftig sonst lässen Schneefall allmählich
train/07January_2010_Thursday_tagesschau-2305,am montag schneit es zeitweise noch leicht,Montag schneien es zeitweise noch leicht
train/13April_2010_Tuesday_tagesschau-2306,und nun die wettervorhersage für morgen mittwoch den vierzehnten april,nun Wettervorhersage morgen Mittwoch vierzehnter April
train/13April_2010_Tuesday_tagesschau-2307,das tief das sich von den alpen nach osten verlagert bringt im süden und im osten deutschlands wechselhaftes wetter,tief der sich alpen Osten verlagern bringen Süden Osten Deutschland wechselhaft Wetter
train/13April_2010_Tuesday_tagesschau-2309,in den südlichen landesteilen regnet es heute nacht verbreitet sonst ist es teilweise klar stellenweise bildet sich nebel,südlich landesteilen regnen es heute Nacht verbreiten sonst es teilweise klar stellenweise bilden sich Nebel
train/13April_2010_Tuesday_tagesschau-2310,am tag liegen im süden und osten die wolken unterschiedlich dicht beieinander hier und da regnet oder schauert es vereinzelt sind gewitter dabei,Tag liegen Süden Osten Wolke unterschiedlich dicht beieinander hier da regnen schaueren es vereinzelt Gewitter dabei
train/13April_2010_Tuesday_tagesschau-2311,im norden und westen mal sonne mal wolken,Norden Westen mal Sonne mal Wolken
train/13April_2010_Tuesday_tagesschau-2312,der nordostwind weht schwach bis mäßig im nordosten und an den küsten teilweise frischer wind,Nordostwind wehen schwach mäßig Nordosten Küste teilweise frisch Wind
train/13April_2010_Tuesday_tagesschau-2313,heute nacht sechs grad am main ein grad an den alpen,heute Nacht sechs Grad Main grad alpen
train/13April_2010_Tuesday_tagesschau-2315,am donnerstag überwiegen in der südosthälfte die wolken und es fallen stellenweise schauer,Donnerstag überwiegen Südosthälfte Wolke es fallen stellenweise Schauer
train/13April_2010_Tuesday_tagesschau-2316,richtung nordwesten scheint meist die sonne,Richtung Nordwesten scheinen meist Sonne
train/13April_2010_Tuesday_tagesschau-2317,am freitag ist es an den alpen stark bewölkt und es regnet etwas sonst scheint recht häufig die sonne,Freitag es alpen stark bewölkt es regnen etwas sonst scheinen recht häufig Sonne
train/07June_2010_Monday_heute-2319,guten abend liebe zuschauer,gut abend lieb Zuschauer
train/07June_2010_Monday_heute-2320,in der nacht bleibt es bei uns noch meist trocken aber morgen am tag wird es wieder zeitweise regnen,Nacht bleiben es uns noch meist trocken morgen Tag es wieder zeitweise regnen
train/07June_2010_Monday_heute-2321,von großbritannien folgt das nächste regengebiet das uns morgen früh bereits im westen erreicht,Großbritannien folgen nächster Regengebiet der uns morgen früh bereits Westen erreichen
train/07June_2010_Monday_heute-2323,ja heute nacht gibt es noch ein paar schauer jetzt am alpenrand sonst lassen die schauer an der ostsee nach es wird klar und es kühlt sich dann ab,heute Nacht geben es noch Schauer jetzt alpenrand sonst lassen Schauer Ostsee es klar es kühlen sich dann
train/07June_2010_Monday_heute-2324,morgen früh sind es etwa acht bis vierzehn grad,morgen früh es etwa acht vierzehn grad
train/07June_2010_Monday_heute-2325,und tagsüber wird es schon wieder etwas wärmer als heute,tagsüber es schon wieder wärm heute
train/07June_2010_Monday_heute-2326,im norden und westen sind die temperaturen noch ein bisschen verhalten da sind es siebzehn bis dreiundzwanzig grad,Norden Westen Temperature noch bisschen verhalten da es siebzehn dreiundzwanzig grad
train/07June_2010_Monday_heute-2328,dazu haben wir im westen regen schon am vormittag es sind teilweise auch nur regenschauer aber dann am nachmittag auch gewitter die sich weiter nach osten ausbreiten,dazu haben wir Westen Regen schon Vormittag es teilweise auch nur Regenschauer dann Nachmittag auch Gewitter der sich weiter Osten ausbreiten
train/07June_2010_Monday_heute-2329,dort ist es auf jeden fall zum teil längere zeit noch richtig schön mit sonne und wolken,dort es Fall Teil lang Zeit noch richtig schön Sonne Wolken
train/07June_2010_Monday_heute-2330,das gilt auch für süddeutschland auch dort am rhein entlang schon mal regen am vormittag schauer und am nachmittag gewitter die sich nach osten hin ausbreiten werden,der gelten auch Süddeutschland auch dort rhein schon mal Regen Vormittag Schauer Nachmittag Gewitter der sich Osten hin ausbreiten
train/07June_2010_Monday_heute-2331,und mit schauern und gewittern geht es auch weiter dazu auch noch eine schwüle hitze besonders am donnerstag,schauer gewittern gehen es auch weiter dazu auch noch schwül Hitze besonders Donnerstag
train/07June_2010_Monday_heute-2332,und in der nacht zum freitag können die gewitter dann wahrscheinlich auch unwetterartig werden,Nacht Freitag Gewitter dann wahrscheinlich auch unwetterartig
train/26September_2009_Saturday_tagesschau-2337,in der nacht breiten sich stellenweise nebel oder hochnebelfelder aus,Nacht breiten sich stellenweise Nebel Hochnebelfelder
train/26September_2009_Saturday_tagesschau-2338,örtlich muss mit bodenfrost gerechnet werden,örtlich Bodenfrost rechnen
train/26September_2009_Saturday_tagesschau-2345,am dienstag scheint im südwesten und richtung osten zeitweise die sonne sonst regnet es hier und da,Dienstag scheinen Südwesten richtung Osten zeitweise Sonne sonst regnen es hier da
train/26September_2009_Saturday_tagesschau-2346,am mittwoch im süden teilweise freundliches wetter sonst mehr wolken als sonne und etwas regen,Mittwoch Süden teilweise freundlich Wetter sonst Wolke Sonne Regen
train/03February_2010_Wednesday_heute-2347,guten abend liebe zuschauer,gut abend lieb Zuschauer
train/03February_2010_Wednesday_heute-2348,tagsüber tauwetter nachts allerdings frost also es kann auch in dieser nacht wieder sehr glatt werden,tagsüber Tauwetter nachts allerdings frost also es auch Nacht wieder sehr glatt
train/03February_2010_Wednesday_heute-2349,heute hatten wir wunderbares wetter in norddeutschland zumindest am vormittag viel sonnenschein in ostfriesland und zwischen hamburg und hannover,heute haben wir wunderbar Wetter Norddeutschland zumindest Vormittag Sonnenschein Ostfriesland Hamburg Hannover
train/03February_2010_Wednesday_heute-2350,dann von norden ein paar schneeschauer später auch an der nordseeküste,dann Norden Schneeschauer spät auch Nordseeküste
train/03February_2010_Wednesday_heute-2351,morgen wird es da leider nicht mehr so schön es wird trüb sein,morgen es da leider mehr so schön es trüb
train/03February_2010_Wednesday_heute-2352,und trotz dieses tauwetters es wird nachts ja fast überall frostig im osten minus vier bis minus sieben grad im westen sind es etwa null grad und vielleicht auch kein frost mehr ganz im westen,tauwetters es nachts ja fast überall frostig Osten vier minus sieben Grad Westen es etwa null Grad vielleicht auch Frost mehr ganz Westen
train/03February_2010_Wednesday_heute-2353,dazu kann es aber glatt werden oberhalb von dreihundert metern rechnen wir in den mittelgebirgen heute nacht mit schnee,dazu es aber glatt dreihundert Meter rechnen wir Mittelgebirgen heute Nacht Schnee
train/03February_2010_Wednesday_heute-2357,nordöstlich der elbe dann wohl meist schnee im tagesverlauf südwestlich davon meist regen oder schneeregen und in der mitte und im süden sieht es freundlich aus da kann hier und da tatsächlich wo immer die sonne rauskommt freuen sie sich einfach wenn sie sie mal sehen,nordöstlich elbe dann wohl meist Schnee Tagesverlauf südwestlich davon meist Regen Schneeregen Mitte Süden sehen es freundlich da können hier da tatsächlich immer Sonne rauskommen freuen sie sich einfach sie sie mal sehen
train/03February_2010_Wednesday_heute-2358,es ist mild dazu tauwetter also zwei bis sieben grad meist und nur noch ganz im nordosten auf rügen haben wir so temperaturen bei null grad,es mild dazu Tauwetter also zwei sieben grad meist nur noch ganz Nordosten rügen haben wir so temperaturen null Grad
train/03February_2010_Wednesday_heute-2359,es geht mild weiter und vor allen dingen am freitag mit viel regen und schnee in süddeutschland,es gehen mild weiter dingen Freitag Regen Schnee Süddeutschland
train/29December_2011_Thursday_tagesschau-2363,und nun die wettervorhersage für morgen freitag den dreißigsten dezember,nun Wettervorhersage morgen Freitag dreißigster Dezember
train/29December_2011_Thursday_tagesschau-2364,das tief über skandinavien bringt uns kaltluft,der tief Skandinavien bringen uns kaltluft
train/29December_2011_Thursday_tagesschau-2365,und so fallen die niederschläge zunehmend als schnee im bergland ist bis samstag örtlich über dreißig zentimeter neuschnee möglich,so fallen niederschläge zunehmend Schnee bergland Samstag örtlich über dreißig zentimeter Neuschnee möglich
train/29December_2011_Thursday_tagesschau-2366,da es auch teilweise stürmt muss mit gefährlichen schneeverwehungen gerechnet werden,es auch teilweise stürmen gefährlich Schneeverwehung rechnen
train/29December_2011_Thursday_tagesschau-2368,regen und schnee breiten sich heute nacht über das ganze land aus lokal können die niederschläge kräftig sein,Regen Schnee breiten sich heute Nacht ganz Land lokal niederschläge kräftig
train/29December_2011_Thursday_tagesschau-2369,in der nordhälfte später schauer an der see zum teil gewitter,Nordhälfte spät Schauer See Teil Gewitter
train/29December_2011_Thursday_tagesschau-2370,morgen früh besteht in einigen regionen die gefahr von verkehrsbehinderungen,morgen früh bestehen regionen Gefahr Verkehrsbehinderung
train/29December_2011_Thursday_tagesschau-2372,die schneefallgrenze liegt morgen bei dreihundert metern,Schneefallgrenze liegen morgen dreihundert Meter
train/29December_2011_Thursday_tagesschau-2373,heute nacht gibt es stellenweise stürmische böen an der see und bei kräftigen schauern schwere sturmböen in einzelnen gipfellagen orkanartige böen,heute Nacht geben es stellenweise stürmisch böen See kräftig Schauer schwer Sturmbö einzeln Gipfellag orkanartig böen
train/29December_2011_Thursday_tagesschau-2374,morgen lässt der wind allmählich nach,morgen lässen Wind allmählich
train/29December_2011_Thursday_tagesschau-2375,in der nacht minus drei grad am alpenrand plus vier am rhein und an der küste,Nacht minus drei Grad alpenrand vier rhein Küste
train/29December_2011_Thursday_tagesschau-2376,morgen werte zwischen ein und sieben grad,morgen werten zwischen ein sieben Grad
train/29December_2011_Thursday_tagesschau-2377,am samstag wird es von westen deutlich milder,Samstag es Westen deutlich mild
train/29December_2011_Thursday_tagesschau-2378,von dort zieht auch regen heran anfangs fällt auch noch schnee,dort ziehen auch Regen heran anfangs fallen auch noch Schnee
train/29December_2011_Thursday_tagesschau-2379,das neue jahr beginnt dann mild windig und wechselhaft,neu Jahr beginnen dann mild windig wechselhaft
train/12January_2010_Tuesday_tagesschau-2380,und nun die wettervorhersage für morgen mittwoch den dreizehnten januar,nun Wettervorhersage morgen Mittwoch dreizehnter Januar
train/12January_2010_Tuesday_tagesschau-2381,das hoch über skandinavien verändert seine position kaum,hoch Skandinavien verändern Position kaum
train/12January_2010_Tuesday_tagesschau-2382,die folge es strömt weiter kalte luft zu uns,Folge es strömen weiter kalt Luft uns
train/12January_2010_Tuesday_tagesschau-2383,das tief über der biskaya das bis morgen abend den süden englands erreicht bringt im südwesten deutschlands allerdings plusgrade und neue niederschläge,tief biskaya der morgen abend Süden Englands erreichen bringen Südwesten Deutschland allerdings Plusgrad neu niederschläge
train/12January_2010_Tuesday_tagesschau-2384,in der nacht klart es gebietsweise auf in der früh fängt es im äußersten südwesten an zu schneien,Nacht klaren es gebietsweise früh fangen es äußerer Südwesten schneien
train/12January_2010_Tuesday_tagesschau-2385,am tag nordöstlich der elbe dichte wolken mit einzelnen flocken,Tag nordöstlich Elbe dicht Wolke einzeln Flocken
train/12January_2010_Tuesday_tagesschau-2386,auch im südwesten und westen schneit es gebietsweise teilweise ist gefrierender regen mit dabei vorsicht wegen glätte,auch Südwesten Westen schneien es Gebietsweise teilweise gefrierend Regen dabei Vorsicht glätte
train/12January_2010_Tuesday_tagesschau-2387,der wind weht im norden frisch an der nordsee auch starker wind,Wind wehen Norden frisch Nordsee auch stark Wind
train/12January_2010_Tuesday_tagesschau-2388,heute nacht minus zwölf grad in teilen thüringens und sachsens wo es länger aufklart bis minus sechzehn grad,heute Nacht minus zwölf Grad Teil thüringens Sachsen es lang aufklaren minus sechzehn Grad
train/12January_2010_Tuesday_tagesschau-2389,am tag plus vier grad im breisgau und minus sechs grad in erfurt,Tag vier Grad Breisgau minus sechs Grad Erfurt
train/12January_2010_Tuesday_tagesschau-2390,am donnerstag und am freitag mehr wolken als sonne vereinzelt schneit es etwas im süden und westen ist auch regen oder gefrierender regen möglich,Donnerstag Freitag Wolke Sonne vereinzelt schneien es etwas Süden Westen auch Regen gefrierend Regen möglich
train/12January_2010_Tuesday_tagesschau-2391,am samstag zeigt sich die sonne dann etwas häufiger,Samstag zeigen sich Sonne dann etwas häufig
train/23November_2011_Wednesday_heute-2392,guten abend liebe zuschauer,gut abend lieb Zuschauer
train/23November_2011_Wednesday_heute-2393,mehr wind bedeutet weniger nebel,Wind bedeuten Nebel
train/23November_2011_Wednesday_heute-2394,und das gilt jetzt vor allen dingen für norddeutschland,der gelten jetzt dingen Norddeutschland
train/23November_2011_Wednesday_heute-2395,dabei kommen uns auch die regengebiet ein bisschen näher aber sie erreichen uns kaum streifen höchstens morgen mal ein bisschen norddeutschland,dabei kommen uns auch regengebiet bisschen nah sie erreichen uns kaum streifen höchstens morgen mal bisschen Norddeutschland
train/23November_2011_Wednesday_heute-2396,die trockenheit geht weiter es wird nur ein bisschen windiger,trockenheit gehen weiter es nur bisschen windig
train/23November_2011_Wednesday_heute-2397,und heute nacht bedeutet das auch es ziehen wolken weiterhin über norddeutschland hinweg der nebel kann sich nur noch im osten bilden und verdichten und auch im süden und da haben wir dann weiterhin den frost im osten und süden,heute Nacht bedeuten der auch es ziehen Wolke weiterhin Norddeutschland hinweg Nebel sich nur noch Osten bilden verdichten auch Süden da haben wir dann weiterhin Frost Osten Süden
train/23November_2011_Wednesday_heute-2398,morgen früh null bis minus fünf grad während im nordwesten die temperaturen frostfrei bleiben vier bis plus sieben grad sind es dort,morgen früh null minus fünf Grad Nordwesten temperaturen frostfrei bleiben vier plus sieben Grad es dort
train/23November_2011_Wednesday_heute-2399,und tagsüber dann sieben bis elf grad in der nordhälfte im süden allerdings wieder kalt,tagsüber dann sieben elf Grad Nordhälfte Süden allerdings wieder kalt
train/23November_2011_Wednesday_heute-2400,dann dort wo sich der nebel zumindest nicht auflöst kommt man kaum aus dem frost raus wie zum beispiel an der donau,dann dort sich Nebel zumindest auflösen kommen man kaum Frost raus Beispiel Donau
train/23November_2011_Wednesday_heute-2401,in norddeutschland morgen grau in grau ab und zu tröpfelt es dabei ein bisschen und es weht dieser frische kräftige südwestwind,Norddeutschland morgen grau grau ab zu tröpfelen es dabei bisschen es wehen frisch kräftig Südwestwind
train/23November_2011_Wednesday_heute-2402,über den mittelgebirgen kann mal die sonne rauskommen und im süden ja wie heute dann heißt das an der donau am bodensee bis nach kempten und münchen wahrscheinlich dick im nebel,Mittelgebirgen mal Sonne rauskommen Süden heute dann heißen der donau Bodensee Kempten München wahrscheinlich dick Nebel
train/23November_2011_Wednesday_heute-2403,sonst aber wird es auch sonnig sein,sonst aber es auch sonnig
train/23November_2011_Wednesday_heute-2404,und am wochenende verschwindet langsam dieser nebel bei uns es wird nämlich stürmisch zumindest in norddeutschland,Wochenende verschwinden langsam Nebel uns es nämlich stürmisch zumindest Norddeutschland
train/23November_2011_Wednesday_heute-2405,und dann kann es auch ab und zu mal ein bisschen regnen,dann es auch ab zu mal bisschen regnen
train/23November_2011_Wednesday_heute-2406,ihnen einen schönen abend und machen sie es gut,ihnen schön abend machen sie es gut
train/22October_2010_Friday_tagesschau-2407,und nun die wettervorhersage für morgen samstag den dreiundzwanzigsten oktober,nun Wettervorhersage morgen Samstag dreiundzwanzigster Oktober
train/22October_2010_Friday_tagesschau-2408,hoher luftdruck beschert uns morgen noch teilweise freundliches herbstwetter,hoch Luftdruck bescheren uns morgen noch teilweise freundlich Herbstwetter
train/22October_2010_Friday_tagesschau-2409,das tief über england lenkt aber im laufe des tages von westen wieder regenwolken ins land,tief England lenken aber laufe tages Westen wieder regenwolke Land
train/22October_2010_Friday_tagesschau-2410,im norden sowie südlich der donau halten sich heute nacht viele wolken stellenweise fällt etwas regen sonst verbreitet klar,Norden südlich Donau halten sich heute Nacht Wolke stellenweise fallen Regen sonst verbreiten klar
train/22October_2010_Friday_tagesschau-2412,morgen abseits zäher nebelfelder recht freundlich in küstennähe und im süden wolken vereinzelt kann es ein wenig regnen,morgen zäh Nebelfelder recht freundlich Küstennähe Süden vereinzelt es wenig regnen
train/22October_2010_Friday_tagesschau-2413,von westen ziehen am nachmittag neue wolken ins land und gebietsweise fällt regen,Westen ziehen Nachmittag neu Wolke Land Gebietsweise fallen Regen
train/22October_2010_Friday_tagesschau-2414,schwacher bis mäßiger in der nordwesthälfte auch frischer zum teil stark böiger wind aus süd bis südwest,schwach mäßig Nordwesthälfte auch frisch Teil stark böig Wind Süd Südwest
train/22October_2010_Friday_tagesschau-2415,auf den bergen und an der see sind stürmische böen möglich,bergen See stürmisch böen möglich
train/22October_2010_Friday_tagesschau-2416,in nordfriesland heute nacht bis acht grad wo es aufklart wird es wieder frostig in einigen mittelgebirgstälern morgen sieben im süden bis zwölf grad,Nordfriesland heute Nacht acht Grad es aufklaren es wieder frostig mittelgebirgstälern morgen sieben Süden zwölf Grad
train/22October_2010_Friday_tagesschau-2417,am sonntag viele wolken und gebietsweise regen in der nordwesthälfte sehr windig,Sonntag Wolke gebietsweise Regen Nordwesthälfte sehr windig
train/22October_2010_Friday_tagesschau-2418,auch am montag wechselhaft im höheren bergland ist auch wieder schnee dabei,auch Montag wechselhaft hoch bergland auch wieder Schnee dabei
train/22October_2010_Friday_tagesschau-2419,am dienstag wird es von westen etwas freundlicher,Dienstag es Westen etwas freundlich
train/14July_2009_Tuesday_tagesschau-2420,und nun die wettervorhersage für morgen mittwoch den fünfzehnten juli,nun Wettervorhersage morgen Mittwoch fünfzehnter Juli
train/14July_2009_Tuesday_tagesschau-2421,deutschland liegt weiterhin zwischen einem mittelmeerhoch und einem tief über england,Deutschland liegen weiterhin Mittelmeerhoch tief England
train/14July_2009_Tuesday_tagesschau-2422,auch die luftmassengrenze an der es wieder ergiebige regenfälle und heftige gewitter geben kann bleibt uns noch erhalten,auch luftmassengrenze der es wieder ergiebig regenfälle heftig Gewitter geben bleiben uns noch erhalten
train/14July_2009_Tuesday_tagesschau-2423,zurzeit reicht sie vom oberrhein bis nach franken und dort wird es heute nacht kräftig schütten zum teil mit blitz und donner,zurzeit reichen sie Oberrhein Franken dort es heute Nacht kräftig schütten Teil Blitz Donner
train/14July_2009_Tuesday_tagesschau-2424,sonst nur einzelne schauer,sonst nur einzeln Schauer
train/14July_2009_Tuesday_tagesschau-2428,auch in küstennähe einzelne schauer und gewitter während es von westen freundlicher wird,auch Küstennähe einzeln Schauer Gewitter es Westen freundlich
train/14July_2009_Tuesday_tagesschau-2429,von gewitterböen abgesehen weht ein schwacher bis mäßiger südwestwind,Gewitterbö absehen wehen schwach mäßig Südwestwind
train/14July_2009_Tuesday_tagesschau-2431,morgen reichen die temperaturen von dreiundzwanzig grad in der lausitz bis neunundzwanzig grad am oberrhein,morgen reichen temperaturen dreiundzwanzig grad Lausitz neunundzwanzig Grad Oberrhein
train/14July_2009_Tuesday_tagesschau-2434,am freitag überqueren uns schauer und gewitter die vor allem in der osthälfte unwetterpotenzial haben,Freitag überqueren uns Schauer Gewitter der alle Osthälfte Unwetterpotenzial haben
train/14July_2009_Tuesday_tagesschau-2435,am samstag wechselhaft und deutlich kühler,Samstag wechselhaft deutlich kühl
train/28November_2010_Sunday_tagesschau-2436,und nun die wettervorhersage für morgen montag den neunundzwanzigsten november,nun Wettervorhersage morgen Montag neunundzwanzigster November
train/28November_2010_Sunday_tagesschau-2437,gleich zwei tiefs sorgen dafür dass es in der nacht und morgen in teilen deutschlands kräftig schneit das tief über der adria und das tief bei frankreich,gleich zwei sorgen dafür es Nacht morgen Teil Deutschland kräftig schneien tief Adria tief Frankreich
train/28November_2010_Sunday_tagesschau-2438,mit erheblichen verkehrsstörungen muss gerechnet werden,erheblich verkehrsstörung rechnen
train/28November_2010_Sunday_tagesschau-2439,in der nacht breiten sich teilweise kräftige schneefälle aus dem südosten weiter bis in die mitte aus,Nacht breiten sich teilweise kräftig schneefälle Südosten weiter Mitte
train/28November_2010_Sunday_tagesschau-2440,auch von westen beginnt es zu schneien am tag schneit es für längere zeit vor allem im südosten sowie in der mitte,auch Westen beginnen es schneien Tag schneien es lang Zeit alle Südosten Mitte
train/28November_2010_Sunday_tagesschau-2441,in bayern und sachsen schneit es am kräftigsten auch an den küsten schneeschauer,Bayern Sachsen schneien es kräftig auch Küste Schneeschauer
train/28November_2010_Sunday_tagesschau-2443,wo es heute nacht länger aufklart starker frost bis minus zwölf grad,wo es heute Nacht lang aufklaren stark Frost minus zwölf Grad
train/28November_2010_Sunday_tagesschau-2444,am tag minus vier grad im bergland leichte plusgrade an küsten und oberrhein,Tag vier Grad bergland leicht plusgrade Küste oberrhein
train/28November_2010_Sunday_tagesschau-2445,am dienstag schneit es in der mitte und an den küsten stellenweise noch etwas sonst neben dichten wolken auch freundliche momente,Dienstag schneien es Mitte Küste stellenweise noch etwas sonst dicht Wolke auch freundlich momente
train/28November_2010_Sunday_tagesschau-2446,am mittwoch ist es windig später vor allem im süden neue schneefälle auch am donnerstag schneit es gebietsweise noch etwas minus elf bis minus ein grad,Mittwoch es windig spät alle Süden neu schneefälle auch Donnerstag schneien es gebietsweise noch elf minus Grad
train/12March_2011_Saturday_tagesschau-2447,und nun die wettervorhersage für morgen sonntag den dreizehnten märz,nun Wettervorhersage morgen Sonntag dreizehnter März
train/12March_2011_Saturday_tagesschau-2448,das tief über großbritannien sorgt dafür dass wolken zu uns ziehen,tief Großbritannien sorgen dafür Wolke uns ziehen
train/12March_2011_Saturday_tagesschau-2449,regen bringen sie aber nur wenig,regen bringen sie aber nur wenig
train/12March_2011_Saturday_tagesschau-2450,für sonnenschein im osten und südosten deutschlands dagegen sorgt das hoch über südosteuropa,Sonnenschein Osten Südosten Deutschland dagegen sorgen der hoch Südosteuropa
train/12March_2011_Saturday_tagesschau-2452,am tag liegen über den westlichen und nordwestlichen landesteilen viele wolken hin und wieder lockert es auf örtlich regnet es etwas im osten und südosten ist es freundlich,Tag liegen westlich nordwestlich landesteilen Wolke hin wieder lockeren es örtlich regnen es etwas Osten Südosten es freundlich
train/12March_2011_Saturday_tagesschau-2453,in den alpen durch den föhn noch sturmböen sonst weht der wind im norden schwach bis mäßig im übrigen land nur schwach,alpen Föhn noch Sturmbö sonst wehen Wind Norden schwach mäßig übrig Land nur schwach
train/12March_2011_Saturday_tagesschau-2454,heute nacht sieben grad im westen und ein grad im osten,heute Nacht sieben Grad Westen Grad Osten
train/12March_2011_Saturday_tagesschau-2456,sonst ist es sehr mild bis sechzehn grad im osten und südosten bei föhn an den alpen werte darüber,sonst es sehr mild sechzehn Grad Osten Südosten Föhn alpen werte darüber
train/12March_2011_Saturday_tagesschau-2457,am montag erst viele wolken und einzelne schauer später freundlicher,Montag erst Wolke einzeln Schauer spät freundlich
train/12March_2011_Saturday_tagesschau-2459,am mittwoch vor allem im süden und osten gebietsweise regen,Mittwoch alle Süden Osten Gebietsweise Regen
train/27June_2011_Monday_heute-2460,guten abend liebe zuschauer,gut abend lieb Zuschauer
train/27June_2011_Monday_heute-2461,sommer sonne dreißig grad so könnte es ja auch weiter gehen,Sommer Sonne dreißig Grad so es ja auch weiter gehen
train/27June_2011_Monday_heute-2462,und das vor allen dingen an einem siebenundzwanzigsten juli dem siebenschläfertag,der dingen siebenundzwanzigst Juli siebenschläfertag
train/27June_2011_Monday_heute-2463,aber die wetterlage ist leider nicht stabil denn das ganze das hoch auch mit der sonne und der regen hier über dem atlantik das zieht alles weiter richtung osten,Wetterlage leider stabil ganz hoch auch Sonne Regen hier Atlantik der ziehen alle weiter Richtung
train/27June_2011_Monday_heute-2464,und wir bräuchten eine stabile wetterlage um sagen zu können der sommer wird schön,wir bräuchen stabil Wetterlage sagen Sommer schön
train/27June_2011_Monday_heute-2465,also der nächste regen folgt noch nicht morgen aber am mittwoch ist er dann da,also nächster Regen folgen noch morgen Mittwoch er dann da
